year,field_i,field_j,count_i,count_j,coocc,weight_cosine
2019,Chemical Engineering,Materials Science,172,1631,86,0.162370544576804
2019,Neuroscience,Social Sciences,1228,1060,46,0.040318625264713956
2019,Computer Science,"Economics, Econometrics and Finance",2030,451,13,0.01358648339719306
2019,Agricultural and Biological Sciences,Materials Science,801,1631,20,0.01749793331537799
2019,Engineering,Immunology and Microbiology,3225,968,24,0.01358340668432051
2019,Health Professions,Neuroscience,549,1228,15,0.018268626779498427
2019,Chemistry,Energy,519,515,75,0.14506878374588145
2019,Chemistry,Computer Science,519,2030,14,0.01363943365960552
2019,Agricultural and Biological Sciences,"Business, Management and Accounting",801,504,9,0.014164817491751814
2019,Agricultural and Biological Sciences,Engineering,801,3225,37,0.02302081032248603
2019,"Business, Management and Accounting",Mathematics,504,151,2,0.007249803804839235
2019,Arts and Humanities,Computer Science,102,2030,8,0.017580931514073393
2019,Arts and Humanities,Social Sciences,102,1060,47,0.14293705813999044
2019,"Economics, Econometrics and Finance",Immunology and Microbiology,451,968,5,0.007567354070591203
2019,Agricultural and Biological Sciences,Social Sciences,801,1060,14,0.015193535502652424
2019,Medicine,"Pharmacology, Toxicology and Pharmaceutics",5644,83,47,0.06866972516088936
